Grouping_var	Replicate	Clusters	Phase	n	freq
KO	r3	6	G2M	42	0.260869565217391
KO	r3	6	S	26	0.161490683229814
KO	r3	7	G1	164	0.600732600732601
KO	r3	7	G2M	55	0.201465201465201
KO	r3	7	S	54	0.197802197802198
KO	r3	8	G1	55	0.533980582524272
KO	r3	8	G2M	25	0.242718446601942
KO	r3	8	S	23	0.223300970873786
KO	r3	9	G1	107	0.713333333333333
KO	r3	9	G2M	26	0.173333333333333
KO	r3	9	S	17	0.113333333333333
KO	r3	10	G1	98	0.720588235294118
KO	r3	10	G2M	16	0.117647058823529
KO	r3	10	S	22	0.161764705882353
KO	r3	11	G1	40	0.408163265306122
KO	r3	11	G2M	31	0.316326530612245
KO	r3	11	S	27	0.275510204081633
KO	r3	12	G1	73	0.682242990654206
KO	r3	12	G2M	8	0.0747663551401869
KO	r3	12	S	26	0.242990654205607
KO	r3	13	G1	58	0.376623376623377
KO	r3	13	G2M	60	0.38961038961039
KO	r3	13	S	36	0.233766233766234
KO	r3	14	G1	37	0.296
KO	r3	14	G2M	51	0.408
KO	r3	14	S	37	0.296
KO	r3	15	G1	57	0.553398058252427
KO	r3	15	G2M	25	0.242718446601942
KO	r3	15	S	21	0.203883495145631
KO	r3	16	G1	47	0.602564102564103
KO	r3	16	G2M	16	0.205128205128205
KO	r3	16	S	15	0.192307692307692
KO	r3	17	G1	17	0.404761904761905
KO	r3	17	G2M	11	0.261904761904762
KO	r3	17	S	14	0.333333333333333
KO	r3	18	G1	7	0.28
KO	r3	18	G2M	15	0.6
KO	r3	18	S	3	0.12
KO	r4	0	G1	118	0.36875
KO	r4	0	G2M	115	0.359375
KO	r4	0	S	87	0.271875
KO	r4	1	G1	80	0.506329113924051
KO	r4	1	G2M	38	0.240506329113924
KO	r4	1	S	40	0.253164556962025
KO	r4	2	G1	82	0.47953216374269
KO	r4	2	G2M	41	0.239766081871345
KO	r4	2	S	48	0.280701754385965
KO	r4	3	G1	62	0.321243523316062
KO	r4	3	G2M	47	0.243523316062176
KO	r4	3	S	84	0.435233160621762
KO	r4	4	G1	106	0.557894736842105
KO	r4	4	G2M	61	0.321052631578947
KO	r4	4	S	23	0.121052631578947
KO	r4	5	G1	80	0.536912751677852
KO	r4	5	G2M	37	0.248322147651007
KO	r4	5	S	32	0.214765100671141
KO	r4	6	G1	51	0.485714285714286
KO	r4	6	G2M	34	0.323809523809524
KO	r4	6	S	20	0.19047619047619
KO	r4	7	G1	3	0.75
KO	r4	7	G2M	1	0.25
KO	r4	8	G1	29	0.341176470588235
KO	r4	8	G2M	34	0.4
KO	r4	8	S	22	0.258823529411765
KO	r4	9	G1	66	0.653465346534653
KO	r4	9	G2M	20	0.198019801980198
KO	r4	9	S	15	0.148514851485149
KO	r4	10	G1	40	0.634920634920635
KO	r4	10	G2M	6	0.0952380952380952
KO	r4	10	S	17	0.26984126984127
KO	r4	11	G1	22	0.323529411764706
KO	r4	11	G2M	24	0.352941176470588
KO	r4	11	S	22	0.323529411764706
KO	r4	12	G1	48	0.564705882352941
KO	r4	12	G2M	11	0.129411764705882
KO	r4	12	S	26	0.305882352941176
KO	r4	13	G1	15	0.375
KO	r4	13	G2M	18	0.45
KO	r4	13	S	7	0.175
KO	r4	14	G1	20	0.206185567010309
KO	r4	14	G2M	46	0.474226804123711
KO	r4	14	S	31	0.319587628865979
KO	r4	15	G1	20	0.5
KO	r4	15	G2M	9	0.225
KO	r4	15	S	11	0.275
KO	r4	16	G1	60	0.594059405940594
KO	r4	16	G2M	17	0.168316831683168
KO	r4	16	S	24	0.237623762376238
KO	r4	17	G1	12	0.375
KO	r4	17	G2M	11	0.34375
KO	r4	17	S	9	0.28125
KO	r4	18	G1	18	0.45
KO	r4	18	G2M	13	0.325
KO	r4	18	S	9	0.225
WT	r1	0	G1	208	0.51358024691358
WT	r1	0	G2M	99	0.244444444444444
WT	r1	0	S	98	0.241975308641975
WT	r1	1	G1	231	0.67741935483871
WT	r1	1	G2M	59	0.173020527859238
WT	r1	1	S	51	0.149560117302053
WT	r1	2	G1	160	0.692640692640693
WT	r1	2	G2M	36	0.155844155844156
WT	r1	2	S	35	0.151515151515152
WT	r1	3	G1	175	0.535168195718654
WT	r1	3	G2M	77	0.235474006116208
WT	r1	3	S	75	0.229357798165138
WT	r1	4	G1	196	0.569767441860465
WT	r1	4	G2M	92	0.267441860465116
WT	r1	4	S	56	0.162790697674419
WT	r1	5	G1	70	0.588235294117647
WT	r1	5	G2M	33	0.277310924369748
WT	r1	5	S	16	0.134453781512605
WT	r1	6	G1	150	0.72463768115942
WT	r1	6	G2M	23	0.111111111111111
WT	r1	6	S	34	0.164251207729469
WT	r1	7	G1	194	0.690391459074733
WT	r1	7	G2M	38	0.135231316725979
WT	r1	7	S	49	0.174377224199288
WT	r1	8	G1	23	0.5
WT	r1	8	G2M	13	0.282608695652174
WT	r1	8	S	10	0.217391304347826
WT	r1	9	G1	33	0.75
WT	r1	9	G2M	7	0.159090909090909
WT	r1	9	S	4	0.0909090909090909
WT	r1	10	G1	43	0.704918032786885
WT	r1	10	G2M	6	0.0983606557377049
WT	r1	10	S	12	0.19672131147541
WT	r1	11	G1	37	0.506849315068493
WT	r1	11	G2M	22	0.301369863013699
WT	r1	11	S	14	0.191780821917808
WT	r1	12	G1	40	0.588235294117647
WT	r1	12	G2M	17	0.25
WT	r1	12	S	11	0.161764705882353
WT	r1	13	G1	9	0.428571428571429
WT	r1	13	G2M	7	0.333333333333333
WT	r1	13	S	5	0.238095238095238
WT	r1	14	G1	11	0.275
WT	r1	14	G2M	19	0.475
WT	r1	14	S	10	0.25
WT	r1	15	G1	60	0.618556701030928
WT	r1	15	G2M	16	0.164948453608247
WT	r1	15	S	21	0.216494845360825
WT	r1	16	G1	48	0.727272727272727
WT	r1	16	G2M	5	0.0757575757575758
WT	r1	16	S	13	0.196969696969697
WT	r1	17	G1	22	0.458333333333333
WT	r1	17	G2M	11	0.229166666666667
WT	r1	17	S	15	0.3125
WT	r2	0	G1	274	0.503676470588235
WT	r2	0	G2M	160	0.294117647058824
WT	r2	0	S	110	0.202205882352941
WT	r2	1	G1	267	0.684615384615385
WT	r2	1	G2M	51	0.130769230769231
WT	r2	1	S	72	0.184615384615385
WT	r2	2	G1	226	0.656976744186046
WT	r2	2	G2M	40	0.116279069767442
WT	r2	2	S	78	0.226744186046512
WT	r2	3	G1	246	0.491017964071856
WT	r2	3	G2M	121	0.241516966067864
WT	r2	3	S	134	0.267465069860279
WT	r2	4	G1	141	0.54863813229572
WT	r2	4	G2M	74	0.287937743190661
WT	r2	4	S	42	0.163424124513619
WT	r2	5	G1	145	0.622317596566524
WT	r2	5	G2M	54	0.231759656652361
WT	r2	5	S	34	0.145922746781116
WT	r2	6	G1	125	0.654450261780105
WT	r2	6	G2M	38	0.198952879581152
WT	r2	6	S	28	0.146596858638743
WT	r2	7	G1	187	0.566666666666667
WT	r2	7	G2M	55	0.166666666666667
WT	r2	7	S	88	0.266666666666667
WT	r2	8	G1	36	0.409090909090909
WT	r2	8	G2M	23	0.261363636363636
WT	r2	8	S	29	0.329545454545455
WT	r2	9	G1	112	0.751677852348993
WT	r2	9	G2M	20	0.134228187919463
WT	r2	9	S	17	0.114093959731544
WT	r2	10	G1	83	0.584507042253521
WT	r2	10	G2M	25	0.176056338028169
WT	r2	10	S	34	0.23943661971831
WT	r2	11	G1	76	0.562962962962963
WT	r2	11	G2M	39	0.288888888888889
WT	r2	11	S	20	0.148148148148148
WT	r2	12	G1	60	0.652173913043478
WT	r2	12	G2M	12	0.130434782608696
WT	r2	12	S	20	0.217391304347826
WT	r2	13	G1	23	0.450980392156863
WT	r2	13	G2M	21	0.411764705882353
WT	r2	13	S	7	0.137254901960784
WT	r2	14	G1	37	0.493333333333333
WT	r2	14	G2M	19	0.253333333333333
WT	r2	14	S	19	0.253333333333333
WT	r2	15	G1	78	0.634146341463415
WT	r2	15	G2M	19	0.154471544715447
WT	r2	15	S	26	0.211382113821138
WT	r2	16	G1	70	0.593220338983051
WT	r2	16	G2M	18	0.152542372881356
WT	r2	16	S	30	0.254237288135593
WT	r2	17	G1	34	0.419753086419753
WT	r2	17	G2M	26	0.320987654320988
WT	r2	17	S	21	0.259259259259259
WT	r2	18	G1	2	0.333333333333333
WT	r2	18	G2M	3	0.5
WT	r2	18	S	1	0.166666666666667
WT	r3	0	G1	97	0.440909090909091
WT	r3	0	G2M	69	0.313636363636364
WT	r3	0	S	54	0.245454545454545
WT	r3	1	G1	98	0.583333333333333
WT	r3	1	G2M	48	0.285714285714286
WT	r3	1	S	22	0.130952380952381
WT	r3	2	G1	77	0.531034482758621
WT	r3	2	G2M	29	0.2
WT	r3	2	S	39	0.268965517241379
WT	r3	3	G1	43	0.292517006802721
WT	r3	3	G2M	44	0.299319727891156
WT	r3	3	S	60	0.408163265306122
WT	r3	4	G1	87	0.502890173410405
WT	r3	4	G2M	54	0.312138728323699
WT	r3	4	S	32	0.184971098265896
WT	r3	5	G1	36	0.580645161290323
WT	r3	5	G2M	15	0.241935483870968
WT	r3	5	S	11	0.17741935483871
WT	r3	6	G1	120	0.58252427184466
WT	r3	6	G2M	52	0.252427184466019
WT	r3	6	S	34	0.16504854368932
WT	r3	7	G1	54	0.435483870967742
WT	r3	7	G2M	36	0.290322580645161
WT	r3	7	S	34	0.274193548387097
WT	r3	8	G1	2	0.4
WT	r3	8	G2M	1	0.2
WT	r3	8	S	2	0.4
WT	r3	9	G1	41	0.650793650793651
WT	r3	9	G2M	17	0.26984126984127
WT	r3	9	S	5	0.0793650793650794
WT	r3	10	G1	29	0.483333333333333
WT	r3	10	G2M	16	0.266666666666667
WT	r3	10	S	15	0.25
WT	r3	11	G1	29	0.325842696629214
WT	r3	11	G2M	38	0.426966292134831
WT	r3	11	S	22	0.247191011235955
WT	r3	12	G1	18	0.486486486486487
WT	r3	12	G2M	14	0.378378378378378
WT	r3	12	S	5	0.135135135135135
WT	r3	13	G1	12	0.2
WT	r3	13	G2M	36	0.6
WT	r3	13	S	12	0.2
WT	r3	14	G1	11	0.333333333333333
WT	r3	14	G2M	10	0.303030303030303
WT	r3	14	S	12	0.363636363636364
WT	r3	15	G1	14	0.583333333333333
WT	r3	15	G2M	5	0.208333333333333
WT	r3	15	S	5	0.208333333333333
WT	r3	16	G1	10	0.294117647058824
WT	r3	16	G2M	17	0.5
WT	r3	16	S	7	0.205882352941176
WT	r3	17	G1	1	0.2
WT	r3	17	G2M	3	0.6
WT	r3	17	S	1	0.2
WT	r4	0	G1	77	0.427777777777778
WT	r4	0	G2M	66	0.366666666666667
WT	r4	0	S	37	0.205555555555556
WT	r4	1	G1	65	0.541666666666667
WT	r4	1	G2M	24	0.2
WT	r4	1	S	31	0.258333333333333
WT	r4	2	G1	91	0.427230046948357
WT	r4	2	G2M	55	0.258215962441315
WT	r4	2	S	67	0.314553990610329
WT	r4	3	G1	57	0.347560975609756
WT	r4	3	G2M	47	0.286585365853659
WT	r4	3	S	60	0.365853658536585
WT	r4	4	G1	63	0.5
WT	r4	4	G2M	27	0.214285714285714
WT	r4	4	S	36	0.285714285714286
WT	r4	5	G1	38	0.506666666666667
WT	r4	5	G2M	26	0.346666666666667
WT	r4	5	S	11	0.146666666666667
WT	r4	6	G1	89	0.585526315789474
WT	r4	6	G2M	32	0.210526315789474
WT	r4	6	S	31	0.203947368421053
WT	r4	7	G1	16	0.457142857142857
WT	r4	7	G2M	9	0.257142857142857
WT	r4	7	S	10	0.285714285714286
WT	r4	8	G1	5	0.416666666666667
WT	r4	8	G2M	3	0.25
WT	r4	8	S	4	0.333333333333333
WT	r4	9	G1	44	0.517647058823529
WT	r4	9	G2M	21	0.247058823529412
WT	r4	9	S	20	0.235294117647059
WT	r4	10	G1	37	0.596774193548387
WT	r4	10	G2M	14	0.225806451612903
WT	r4	10	S	11	0.17741935483871
WT	r4	11	G1	17	0.395348837209302
WT	r4	11	G2M	14	0.325581395348837
WT	r4	11	S	12	0.27906976744186
WT	r4	12	G1	28	0.56
WT	r4	12	G2M	17	0.34
WT	r4	12	S	5	0.1
WT	r4	13	G1	65	0.25390625
WT	r4	13	G2M	147	0.57421875
WT	r4	13	S	44	0.171875
WT	r4	14	G1	6	0.260869565217391
WT	r4	14	G2M	7	0.304347826086957
WT	r4	14	S	10	0.434782608695652
WT	r4	15	G1	11	0.379310344827586
WT	r4	15	G2M	7	0.241379310344828
WT	r4	15	S	11	0.379310344827586
WT	r4	16	G1	21	0.5
WT	r4	16	G2M	11	0.261904761904762
WT	r4	16	S	10	0.238095238095238
WT	r4	17	G1	8	0.421052631578947
WT	r4	17	G2M	6	0.315789473684211
WT	r4	17	S	5	0.263157894736842
WT	r4	18	G2M	1	0.5
WT	r4	18	S	1	0.5
WT	r5	0	G1	118	0.427536231884058
WT	r5	0	G2M	93	0.33695652173913
WT	r5	0	S	65	0.235507246376812
WT	r5	1	G1	293	0.714634146341463
WT	r5	1	G2M	55	0.134146341463415
WT	r5	1	S	62	0.151219512195122
WT	r5	2	G1	161	0.641434262948207
WT	r5	2	G2M	38	0.151394422310757
WT	r5	2	S	52	0.207171314741036
WT	r5	3	G1	119	0.495833333333333
WT	r5	3	G2M	54	0.225
WT	r5	3	S	67	0.279166666666667
WT	r5	4	G1	86	0.514970059880239
WT	r5	4	G2M	42	0.251497005988024
WT	r5	4	S	39	0.233532934131737
WT	r5	5	G1	38	0.678571428571429
WT	r5	5	G2M	10	0.178571428571429
WT	r5	5	S	8	0.142857142857143
WT	r5	6	G1	63	0.525
WT	r5	6	G2M	23	0.191666666666667
WT	r5	6	S	34	0.283333333333333
WT	r5	7	G1	62	0.639175257731959
WT	r5	7	G2M	19	0.195876288659794
WT	r5	7	S	16	0.164948453608247
WT	r5	8	G1	84	0.401913875598086
WT	r5	8	G2M	63	0.301435406698565
WT	r5	8	S	62	0.296650717703349
WT	r5	9	G1	51	0.85
WT	r5	9	G2M	5	0.0833333333333333
WT	r5	9	S	4	0.0666666666666667
WT	r5	10	G1	13	0.590909090909091
WT	r5	10	S	9	0.409090909090909
WT	r5	11	G1	40	0.454545454545455
WT	r5	11	G2M	26	0.295454545454545
WT	r5	11	S	22	0.25
WT	r5	12	G1	58	0.682352941176471
WT	r5	12	G2M	13	0.152941176470588
WT	r5	12	S	14	0.164705882352941
WT	r5	13	G1	21	0.333333333333333
WT	r5	13	G2M	33	0.523809523809524
WT	r5	13	S	9	0.142857142857143
WT	r5	14	G1	28	0.394366197183099
WT	r5	14	G2M	19	0.267605633802817
WT	r5	14	S	24	0.338028169014085
WT	r5	15	G1	23	0.766666666666667
WT	r5	15	G2M	5	0.166666666666667
WT	r5	15	S	2	0.0666666666666667
WT	r5	16	G1	29	0.69047619047619
WT	r5	16	G2M	6	0.142857142857143
WT	r5	16	S	7	0.166666666666667
WT	r5	17	G1	17	0.425
WT	r5	17	G2M	11	0.275
WT	r5	17	S	12	0.3
WT	r5	18	G1	20	0.416666666666667
WT	r5	18	G2M	15	0.3125
WT	r5	18	S	13	0.270833333333333
WT	r6	0	G1	79	0.391089108910891
WT	r6	0	G2M	68	0.336633663366337
WT	r6	0	S	55	0.272277227722772
WT	r6	1	G1	139	0.681372549019608
WT	r6	1	G2M	28	0.137254901960784
WT	r6	1	S	37	0.181372549019608
WT	r6	2	G1	203	0.570224719101124
WT	r6	2	G2M	53	0.148876404494382
WT	r6	2	S	100	0.280898876404494
WT	r6	3	G1	80	0.392156862745098
WT	r6	3	G2M	52	0.254901960784314
WT	r6	3	S	72	0.352941176470588
WT	r6	4	G1	51	0.439655172413793
WT	r6	4	G2M	37	0.318965517241379
WT	r6	4	S	28	0.241379310344828
WT	r6	5	G1	69	0.5
WT	r6	5	G2M	45	0.326086956521739
WT	r6	5	S	24	0.173913043478261
WT	r6	6	G1	57	0.57
WT	r6	6	G2M	16	0.16
WT	r6	6	S	27	0.27
WT	r6	7	G1	43	0.754385964912281
WT	r6	7	G2M	7	0.12280701754386
WT	r6	7	S	7	0.12280701754386
WT	r6	8	G1	86	0.48314606741573
WT	r6	8	G2M	47	0.264044943820225
WT	r6	8	S	45	0.252808988764045
WT	r6	9	G1	43	0.767857142857143
WT	r6	9	G2M	5	0.0892857142857143
WT	r6	9	S	8	0.142857142857143
WT	r6	10	G1	53	0.63855421686747
WT	r6	10	G2M	13	0.156626506024096
